2016-01-10 23:56:33,Dehors,5.4,91
2016-01-10 23:56:41,Cave,11.9,72
2016-01-10 23:57:09,Escalier,15.1,57
2016-01-10 23:57:14,Dehors,5.4,91
2016-01-10 23:57:53,Escalier,15.1,57
2016-01-10 23:57:55,Dehors,5.4,91
2016-01-10 23:58:00,Cave,11.9,72
2016-01-10 23:58:35,Escalier,15.1,57
2016-01-10 23:58:36,Dehors,5.4,91
2016-01-10 23:58:39,Cave,11.9,72
2016-01-10 23:59:17,Dehors,5.4,91
2016-01-10 23:59:18,Escalier,15.1,57
2016-01-10 23:59:56,Cave,11.9,72
2016-01-10 23:59:58,Dehors,5.4,91
